Title,Description,Author,Link,Image
"Director Renny Harlin Breaks Down His Entire Career, From Freddy Krueger To The Strangers: Chapter 1 [Exclusive Interview]",Freddy Krueger. Bruce Willis. An unmade Alien 3. That shark that ate Samuel L. Jackson. The Strangers: Chapter 1 director Renny Harlin has stories.,Jacob Hall,https://www.slashfilm.com/1582829/director-renny-harlin-entire-career-interview-strangers-chapter-1/,https://www.slashfilm.com/img/gallery/renny-harlin/intro-1715793327.jpg
Three Major Horror Sequels (Including Five Nights At Freddy's 2) Have New Release Dates,"Horror sequels Five Nights at Freddy's 2, M3GAN 2.0, and The Black Phone 2 have all gotten new release dates.",Jeremy Mathai,https://www.slashfilm.com/1583918/five-nights-at-freddys-2-m3gan-2-black-phone-2-horror-sequels-release-dates/,https://www.slashfilm.com/img/gallery/three-major-horror-sequels-including-five-nights-at-freddys-2-have-new-release-dates/intro-1715888877.jpg
Halle Berry Deals With End Of The World Horror In The Never Let Go Trailer,The Never Let Go trailer pits Halle Berry against post-apocalyptic horror while hiding out in the woods.,Chris Evangelista,https://www.slashfilm.com/1583476/never-let-go-trailer-halle-berry-horror-movie/,https://www.slashfilm.com/img/gallery/halle-berry-deals-with-end-of-the-world-horror-in-the-never-let-go-trailer/intro-1715866545.jpg
The New Lord Of The Rings Movie Will Explore Gollum's Psychology,We now know more about the new Lord of the Rings movie The Lord of the Rings: The Hunt for Gollum.,Jeremy Mathai,https://www.slashfilm.com/1582963/the-lord-of-the-rings-the-hunt-for-gollum-story-details/,https://www.slashfilm.com/img/gallery/the-new-lord-of-the-rings-movie-will-explore-gollums-psychology/intro-1715798697.jpg
"John Wick Spinoff Starring Donnie Yen's Caine Is Happening, Will Pay Off That Credits Scene",Donnie Yen will reprise his role as Caine from John Wick: Chapter 4 for the franchise's latest spinoff.,Ryan Scott,https://www.slashfilm.com/1582865/john-wick-spinoff-donnie-yen-caine-pay-off-credits-scene/,https://www.slashfilm.com/img/gallery/john-wick-spinoff-starring-donnie-yens-caine-is-happening-will-pay-off-that-credits-scene/intro-1715794230.jpg
The Wicked Trailer Lets Cynthia Erivo And Ariana Grande Work Their Magic,The Wicked trailer sees Cynthia Erivo and Ariana Grande take center stage in the first part of director Jon M. Chu's movie musical adaptation.,Sandy Schaefer,https://www.slashfilm.com/1581007/wicked-trailer-cynthia-erivo-ariana-grande/,https://www.slashfilm.com/img/gallery/the-wicked-trailer-lets-cynthia-erivo-and-ariana-grande-work-their-magic/intro-1715620424.jpg
"DVD Isn't As Dead As You May Think, Says Director Kevin Costner","The prevailing wisdom in Hollywood seems to be that DVD is a mostly dead industry, but Horizon director Kevin Costner is here to convince you otherwise.",Ryan Scott,https://www.slashfilm.com/1582210/dvd-isnt-as-dead-as-you-think-says-director-kevin-costner/,https://www.slashfilm.com/img/gallery/dvd-isnt-as-dead-as-you-may-think-says-director-kevin-costner/intro-1715719769.jpg
How To Watch A24's Civil War At Home,A24 and Alex Garland's controversial film Civil War is headed to the home market. Here's how you can check it out.,Valerie Ettenhofer,https://www.slashfilm.com/1582614/how-to-watch-a24-civil-war-at-home/,https://www.slashfilm.com/img/gallery/how-to-watch-a24s-civil-war-at-home/intro-1715783438.jpg
One Of The Most Exciting Horror Movies Of The Year Will Be Streaming For Free This Week,"The horror movie Killer Body Count looks great, and you'll be able to stream it for free on Tubi starting this week.",BJ Colangelo,https://www.slashfilm.com/1582149/killer-body-count-exciting-horror-movie-streaming-on-tubi-for-free/,https://www.slashfilm.com/img/gallery/one-of-the-most-exciting-horror-movies-of-the-year-will-be-streaming-for-free-this-week/intro-1715717223.jpg
"Road House Sequel Is Happening At Amazon, Jake Gyllenhaal Will Return To Bust More Heads",Jake Gyllenhaal will return as Dalton in a Road House sequel from Amazon and MGM.,Ryan Scott,https://www.slashfilm.com/1581693/road-house-sequel-jake-gyllenhaal/,https://www.slashfilm.com/img/gallery/road-house-sequel-is-happening-at-amazon-jake-gyllenhaal-will-return-to-bust-more-heads/intro-1715698769.jpg
Cool Stuff: Amazing Lord Of The Rings LEGO Set Builds Sauron's Dark Tower And Fiery Eye,LEGO is releasing an incredible new Lord of the Rings LEGO set that will let fans build Sauron's dark tower (or Barad-Dûr) and the fiery eye that sits on top.,Ethan Anderton,https://www.slashfilm.com/1581223/cool-stuff-lord-of-the-rings-lego-set-eye-of-sauron-dark-tower-barad-dur/,https://www.slashfilm.com/img/gallery/cool-stuff-amazing-lord-of-the-rings-lego-set-builds-saurons-dark-tower-and-fiery-eye/intro-1715630448.jpg
The Fall Guy Passed A Minor Box Office Milestone - But It's Still Got A Big Hill To Climb,"The Ryan Gosling stunt flick The Fall Guy hasn't been the box office smash it deserves to be, but can it hold strong moving forward?",Ryan Scott,https://www.slashfilm.com/1581374/the-fall-guy-passed-box-office-milestone-100-million/,https://www.slashfilm.com/img/gallery/the-fall-guy-passed-a-minor-box-office-milestone-but-its-still-got-a-big-hill-to-climb/intro-1715642413.jpg
